"Stadsdel ◄","Lägenhet","Bos.t. ◄","m2 ◄","Sk.fr. pris € ◄","€/m2 ◄","Br ◄","Vån ◄","Hiss ◄","Skick ◄","Tomt ◄","Energik. ◄"
"Nummi","2h, k","kt","63,00",139000,2206,1956,"3/4","ei","tyyd.","oma","F2013"
"Itäinen keskusta","2 h, k, kh, p","kt","59,50",162500,2731,1974,"3/6","on","tyyd.","oma",
"Varissuo","2h,k,kph,lasit ...","kt","59,00",57000,966,1982,"3/3","ei","tyyd.","oma","E2013"
"Perno","2h+keittokomero...","kt","45,00",58000,1289,1964,"3/3","ei","hyvä","vuokra","G2013"
"Vasaramäki","2h, k,p","kt","47,00",89300,1900,1961,"3/4","ei","tyyd.","vuokra","F2007"
"Martti","2h, kk","kt","44,50",154000,3461,1975,"3/6","on","tyyd.","oma","D"
"Itäinen keskusta","2h, k","kt","55,00",177000,3218,1968,"3/8","on","tyyd.","oma","F"
"Satama","2 h,k,vh,s","kt","51,00",216824,4251,2019,"3/7","on"," ","oma","B2013"
"Kakolanmäki","2h+kt","kt","41,00",200000,4878,2018,"3/3","on","hyvä","vuokra","C2013"
"Kupittaa","2h, työtil...","kt","76,00",406699,5351,2016,"3/8","on","hyvä","oma","C2013"
"Mäntymäki","2h, kt, kph, la...","kt","44,00",189200,4300,2014,"3/6","on","hyvä","oma","C2018"
"Mäntymäki","2h, k, lasitett...","kt","46,00",194000,4217,2015,"3/6","on","hyvä","oma","C2018"
"Teräsrautela","2h, k, kh/wc, s, p","kt","61,50",135000,2195,1985,"3/3","ei","hyvä","oma","D2013"
"Hepokulta","2h+k","kt","54,50",74000,1358,1971,"3/4","on","hyvä","oma",
"Vasaramäki","2h,k,p","kt","49,00",90700,1851,1961,"3/4","ei","tyyd.","vuokra","F2007"
"Satama","2 h,kt","kt","40,00",181000,4525,2019,"3/7","on"," ","oma","B2013"
"Petrelius","2h+k+parv","kt","59,00",135550,2297,1972,"3/8","on","tyyd.","oma","F2013"
"Satama","2 h,k,vh,s","kt","56,00",237000,4232,2019,"3/6","on"," ","oma","B2013"
"Teräsrautela","2h, k, kph, las...","kt","55,50",113000,2036,1985,"3/3","ei","hyvä","oma","E2007"
"Satama","2 h,kt,vh,s","kt","50,00",220000,4400,2019,"3/6","on"," ","oma","B2013"
"Kiikku","2h, k, kph, lp","kt","56,00",70000,1250,1975,"3/6","on","tyyd.","oma","E2013"
"Satama","2 h,k,vh,parveke","kt","57,00",259000,4544,2020,"3/6","on"," ","oma","A2018"
"Raunistula","2h+kt+s","kt","43,00",196000,4558,2015,"3/5","on","hyvä","oma","C2007"
"Vasaramäki","2h, k, kh, p","kt","47,00",89300,1900,1961,"3/4","ei","tyyd.","vuokra","F2007"
"Vasaramäki","2h,k,p","kt","47,00",89500,1904,1961,"3/4","ei","tyyd.","vuokra","F2007"
"Satama","2 h,k,vh,parveke","kt","50,00",228000,4560,2020,"3/6","on"," ","oma","A2018"
"Runosmäki","2h+k","kt","63,00",85000,1349,1972,"3/3","ei"," ","oma","E2007"
"Keskusta / linnanfältti","2 h,kt","kt","40,00",204300,5108,2019,"3/5","on"," ","oma","B2018"
"Luolavuori","2h,k,kph,vh, la...","kt","51,00",169000,3314,1958,"3/7","on","hyvä","oma","F2013"
"Martti","2h+avokeitti...","kt","46,00",204050,4436,2005,"3/6","on","hyvä","oma","D2018"
"Raunistula","2h+k+parv","kt","53,50",83373,1558,1965,"3/3","ei","huono","oma","D2007"
"Raunistula","2h+kt+p","kt","37,50",195900,5224,2019,"3/6","on","hyvä","oma","C2013"
"Kastu","2h, k, p","kt","55,50",111000,2000,1966,"3/3","ei","hyvä","oma","D2007"
"Runosmäki","2 h, kk, kph, p","kt","50,50",68000,1347,1974,"3/3","ei","hyvä","oma","D2013"
"Satama","2 h,k,vh,parveke","kt","50,00",225000,4500,2020,"3/7","on"," ","oma","A2018"
"Majakkaranta","2h+k+s","kt","64,50",209500,3248,1993,"3/8","on","hyvä","oma","F2013"
"Varissuo","2h, k, s","kt","65,00",61500,946,1980,"3/3","ei","tyyd.","oma","F2013"
